post_id,text,post_date,views,likes,shares,comments
P042,Post about funny on Facebook,2023-08-11,2585,2633,285,51
P043,Post about summer on Facebook,2023-08-12,4936,589,220,338
P044,Post about diy on Facebook,2023-08-13,2002,1366,69,143
P045,Post about music on Facebook,2023-08-14,8355,1915,47,68
P046,Post about music on IG,2023-08-15,8320,2753,94,98
P047,Post about workout on Facebook,2023-08-16,6816,645,453,24
P048,Post about music on IG,2023-08-17,5734,2921,204,52
P049,Post about workout on Facebook,2023-08-18,4261,1706,218,150
P050,Post about review on TikTok,2023-08-19,462,174,474,143
P051,Post about diy on TikTok,2023-08-20,6487,2557,432,56
P052,Post about funny on IG,2023-08-21,9015,1429,341,38
P053,Post about funny on TikTok,2023-08-22,9408,804,551,108
P054,Post about summer on IG,2023-08-23,2249,265,612,180
P055,Post about diy on TikTok,2023-08-24,5623,1520,289,41
P056,Post about music on Facebook,2023-08-25,4748,1725,254,185
P057,Post about workout on TikTok,2023-08-26,3308,2826,357,222
P058,Post about workout on Facebook,2023-08-27,7358,557,23,121
P059,Post about workout on Facebook,2023-08-28,7600,1910,522,132
P060,Post about workout on Facebook,2023-08-29,3370,1861,100,162
P061,Post about review on TikTok,2023-08-30,2455,940,180,214
P062,Post about diy on IG,2023-08-31,1354,2475,223,220
P063,Post about diy on IG,2023-09-01,4699,544,659,234
P064,Post about funny on IG,2023-09-02,6495,2895,442,330
P065,Post about cat on TikTok,2023-09-03,6397,1549,608,145
P066,Post about workout on IG,2023-09-04,1848,2970,325,238
P067,Post about diy on Facebook,2023-09-05,5739,55,516,75
P068,Post about travel on Facebook,2023-09-06,9837,704,16,8
P069,Post about travel on TikTok,2023-09-07,4399,39,336,73
P070,Post about review on IG,2023-09-08,8645,2388,258,252
P071,Post about diy on Facebook,2023-09-09,2757,2579,497,229
P072,Post about travel on Facebook,2023-09-10,5792,419,160,6
P073,Post about diy on IG,2023-09-11,298,2721,475,173
P074,Post about workout on TikTok,2023-09-12,2400,991,664,140
P075,Post about food on TikTok,2023-09-13,3161,1926,690,167
P076,Post about funny on Facebook,2023-09-14,5173,2538,675,169
P077,Post about vlog on TikTok,2023-09-15,4633,1186,380,282
P078,Post about cat on IG,2023-09-16,3069,1135,545,121
P079,Post about funny on IG,2023-09-17,1156,853,691,193
P080,Post about summer on Facebook,2023-09-18,8552,1843,427,4
P081,Post about funny on IG,2023-09-19,5899,2794,613,28
P082,Post about funny on Facebook,2023-09-20,7144,2002,268,164
P083,Post about funny on IG,2023-09-21,4693,873,577,338
P084,Post about diy on TikTok,2023-09-22,9692,70,417,135
P085,Post about music on IG,2023-09-23,5111,594,168,320
P086,Post about funny on TikTok,2023-09-24,4187,1168,43,341
P087,Post about review on Facebook,2023-09-25,9919,2217,556,144
P088,Post about workout on TikTok,2023-09-26,6215,2381,285,326
P089,Post about music on IG,2023-09-27,1418,2637,397,216
P090,Post about vlog on Facebook,2023-09-28,4696,2372,12,300
P091,Post about travel on Facebook,2023-09-29,4935,1735,607,131
P092,Post about summer on TikTok,2023-09-30,4755,701,302,291
P093,Post about travel on TikTok,2023-10-01,9346,857,253,69
P094,Post about diy on TikTok,2023-10-02,8250,1097,499,251
P095,Post about workout on Facebook,2023-10-03,3646,2511,35,274
P096,Post about review on Facebook,2023-10-04,1245,2680,90,181
P097,Post about music on Facebook,2023-10-05,7093,2331,605,166
P098,Post about summer on TikTok,2023-10-06,1893,1615,602,90
P099,Post about food on TikTok,2023-10-07,3636,24,418,201
P100,Post about diy on Facebook,2023-10-08,8954,1146,115,345
